"slug","category","current_title","current_meta_title","current_description","current_meta_description","title_issue","description_issue","duplicate_group","search_intent","proposed_title","proposed_meta_title","proposed_description","proposed_meta_description","body_supports_change","legal_risk","action","status"
"contratos-trabajo-tipos-clausulas-honduras","derecho-laboral","Contratos de Trabajo en Honduras","Contratos de Trabajo en Honduras","Contrato indefinido, a plazo fijo y por obra: diferencias, cláusulas obligatorias (salario, jornada, período de prueba) y cómo probar la relación laboral si su","Conozca los tipos de contratos de trabajo en Honduras, cláusulas esenciales y qué hacer si no le entregan uno. Información legal actualizada.","","","","sin conflicto demostrado","Contratos de Trabajo en Honduras","Contratos de Trabajo en Honduras","Contrato indefinido, a plazo fijo y por obra: diferencias, cláusulas obligatorias (salario, jornada, período de prueba) y cómo probar la relación laboral si su","Conozca los tipos de contratos de trabajo en Honduras, cláusulas esenciales y qué hacer si no le entregan uno. Información legal actualizada.","true","LOW","KEEP","KEEP"
"costos-honorarios-abogados-como-funcionan-honduras","practica-legal","Honorarios de Abogados en Honduras","Honorarios de Abogados en Honduras","Cómo se fijan los honorarios de abogados en Honduras: modalidades de cobro, factores que influyen en el costo y preguntas clave antes de contratar","Conozca cómo se fijan los honorarios de abogados en Honduras, modalidades de cobro, factores de costo y preguntas clave. Transparencia legal garantizada.","","","","sin conflicto demostrado","Honorarios de Abogados en Honduras","Honorarios de Abogados en Honduras","Cómo se fijan los honorarios de abogados en Honduras: modalidades de cobro, factores que influyen en el costo y preguntas clave antes de contratar","Conozca cómo se fijan los honorarios de abogados en Honduras, modalidades de cobro, factores de costo y preguntas clave. Transparencia legal garantizada.","true","LOW","KEEP","KEEP"
"creditos-reestructuracion-deudas","derecho-bancario","Reestructuración de Deuda en Honduras","Reestructuración de Deuda en Honduras","Guía sobre reestructuración de deudas bancarias en Honduras: cuándo conviene solicitarla, cómo negociar con el banco, requisitos y efectos sobre su historial","Aprenda cómo reestructurar su deuda en Honduras. Modifique plazos, tasas e intereses con la guía legal y pasos prácticos. Consulte a expertos.","","","","sin conflicto demostrado","Reestructuración de Deuda en Honduras","Reestructuración de Deuda en Honduras","Guía sobre reestructuración de deudas bancarias en Honduras: cuándo conviene solicitarla, cómo negociar con el banco, requisitos y efectos sobre su historial","Aprenda cómo reestructurar su deuda en Honduras. Modifique plazos, tasas e intereses con la guía legal y pasos prácticos. Consulte a expertos.","true","LOW","KEEP","KEEP"
"cuando-necesito-abogado-penalista-honduras","derecho-penal","¿Cuándo necesita un abogado penalista en Honduras?","¿Cuándo necesita un abogado penalista en Honduras?","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","","","","sin conflicto demostrado","¿Cuándo necesita un abogado penalista en Honduras?","¿Cuándo necesita un abogado penalista en Honduras?","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","Situaciones en las que conviene buscar defensa penal temprana, qué información preparar y cómo se desarrolla una primera consulta.","true","LOW","KEEP","KEEP"
"cuando-prescribe-delito-en-honduras","derecho-penal","Prescripción Penal en Honduras: Plazos y Cálculo","Prescripción Penal en Honduras: Plazos y Cálculo","Cómo se determina la prescripción penal en Honduras según la pena, el delito y los actos que pueden interrumpir o suspender el cómputo.","Cómo se determina la prescripción penal en Honduras según la pena, el delito y los actos que pueden interrumpir o suspender el cómputo.","","","","sin conflicto demostrado","Prescripción Penal en Honduras: Plazos y Cálculo","Prescripción Penal en Honduras: Plazos y Cálculo","Cómo se determina la prescripción penal en Honduras según la pena, el delito y los actos que pueden interrumpir o suspender el cómputo.","Cómo se determina la prescripción penal en Honduras según la pena, el delito y los actos que pueden interrumpir o suspender el cómputo.","true","LOW","KEEP","KEEP"
"custodia-hijos-honduras-juez","derecho-de-familia","Custodia de Hijos en Honduras: Criterios del Juez","Custodia de Hijos en Honduras: Criterios del Juez","Criterios que el juez evalúa en procesos de custodia en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","Criterios que el juez evalúa en procesos de custodia en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","","","","sin conflicto demostrado","Custodia de Hijos en Honduras: Criterios del Juez","Custodia de Hijos en Honduras: Criterios del Juez","Criterios que el juez evalúa en procesos de custodia en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","Criterios que el juez evalúa en procesos de custodia en Honduras: interés superior del menor, capacidad parental y régimen de visitas.","true","LOW","KEEP","KEEP"
"danos-perjuicios-indemnizacion-honduras","derecho-civil","Daños y Perjuicios en Honduras: Cómo Reclamar","Daños y Perjuicios en Honduras: Cómo Reclamar","Requisitos y pasos para reclamar daños y perjuicios en Honduras: tipos de indemnización, plazos, documentos y procedimiento judicial.","Requisitos y pasos para reclamar daños y perjuicios en Honduras: tipos de indemnización, plazos, documentos y procedimiento judicial.","","","","sin conflicto demostrado","Daños y Perjuicios en Honduras: Cómo Reclamar","Daños y Perjuicios en Honduras: Cómo Reclamar","Requisitos y pasos para reclamar daños y perjuicios en Honduras: tipos de indemnización, plazos, documentos y procedimiento judicial.","Requisitos y pasos para reclamar daños y perjuicios en Honduras: tipos de indemnización, plazos, documentos y procedimiento judicial.","true","LOW","KEEP","KEEP"
"defensa-penal-honduras","derecho-penal","Defensa penal en Honduras: guía de las primeras actuaciones","Defensa penal en Honduras: guía de las primeras actuaciones","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","","","","sin conflicto demostrado","Defensa penal en Honduras: guía de las primeras actuaciones","Defensa penal en Honduras: guía de las primeras actuaciones","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","Orientación general ante una detención, citación o investigación penal y sobre la importancia de recibir asesoría jurídica desde el inicio.","true","LOW","KEEP","KEEP"
"defensa-penal-menores-edad-honduras","derecho-penal","Defensa Penal Juvenil en Honduras: Guía Completa","Defensa Penal Juvenil Honduras","Cómo funciona la justicia penal juvenil en Honduras: régimen especial, medidas aplicables, internamiento como último recurso y derechos del menor durante el","Conozca el sistema de defensa penal juvenil en Honduras para menores de 18 años. Principios, medidas y diferencias con el sistema de adultos.","","","","sin conflicto demostrado","Defensa Penal Juvenil en Honduras: Guía Completa","Defensa Penal Juvenil Honduras","Cómo funciona la justicia penal juvenil en Honduras: régimen especial, medidas aplicables, internamiento como último recurso y derechos del menor durante el","Conozca el sistema de defensa penal juvenil en Honduras para menores de 18 años. Principios, medidas y diferencias con el sistema de adultos.","true","LOW","KEEP","KEEP"
"defensa-sar-choluteca","tributario","Defensa ante el SAR en Choluteca","Defensa ante el SAR en Choluteca","Defensa ante fiscalización del SAR en Choluteca: plazos para responder, documentación requerida, derechos del contribuyente y cómo impugnar liquidaciones","Reciba asesoría legal experta para su defensa ante fiscalizaciones del SAR en Choluteca, Honduras. Conozca plazos, procedimientos y sus derechos.","","","","sin conflicto demostrado","Defensa ante el SAR en Choluteca","Defensa ante el SAR en Choluteca","Defensa ante fiscalización del SAR en Choluteca: plazos para responder, documentación requerida, derechos del contribuyente y cómo impugnar liquidaciones","Reciba asesoría legal experta para su defensa ante fiscalizaciones del SAR en Choluteca, Honduras. Conozca plazos, procedimientos y sus derechos.","true","LOW","KEEP","KEEP"
"delitos-ambientales-como-denunciarlos-honduras","derecho-ambiental","Delitos ambientales en Honduras","Delitos Ambientales en Honduras","Guía práctica para denunciar delitos ambientales: ante quién presentar la denuncia (MP, SERNA, ICF), qué pruebas necesita y cómo protegerse como denunciante en","Conozca los delitos ambientales en Honduras, cómo denunciarlos y las instituciones competentes. Información legal actualizada sobre protección ambiental.","","","","sin conflicto demostrado","Delitos ambientales en Honduras","Delitos Ambientales en Honduras","Guía práctica para denunciar delitos ambientales: ante quién presentar la denuncia (MP, SERNA, ICF), qué pruebas necesita y cómo protegerse como denunciante en","Conozca los delitos ambientales en Honduras, cómo denunciarlos y las instituciones competentes. Información legal actualizada sobre protección ambiental.","true","LOW","KEEP","KEEP"
"delitos-mas-comunes-honduras","derecho-penal","Delitos Más Comunes en Honduras: Guía Legal","Delitos Más Comunes en Honduras","Los delitos que más llegan a tribunales en Honduras: penal, familiar, patrimonial. Sepa cómo identificarlos y qué pasos legales tomar en cada situación.","Conoce cuáles son los delitos más frecuentes en Honduras según el nuevo Código Penal, sus penas y qué hacer en caso de denuncia o acusación.","","","","sin conflicto demostrado","Delitos Más Comunes en Honduras: Guía Legal","Delitos Más Comunes en Honduras","Los delitos que más llegan a tribunales en Honduras: penal, familiar, patrimonial. Sepa cómo identificarlos y qué pasos legales tomar en cada situación.","Conoce cuáles son los delitos más frecuentes en Honduras según el nuevo Código Penal, sus penas y qué hacer en caso de denuncia o acusación.","true","LOW","KEEP","KEEP"
"demanda-laboral-choluteca","derecho-laboral","Demanda Laboral en Choluteca (Honduras)","Demanda Laboral Choluteca: Pasos","Demanda laboral en Choluteca por despido injustificado, impago de prestaciones o acoso laboral. Pasos, plazos de 2 meses y abogados laborales en la zona sur.","Sepa cómo presentar una demanda laboral en Choluteca, Honduras. Conozca plazos, artículos del Código de Trabajo y pasos a seguir para reclamar sus","","","","sin conflicto demostrado","Demanda Laboral en Choluteca (Honduras)","Demanda Laboral Choluteca: Pasos","Demanda laboral en Choluteca por despido injustificado, impago de prestaciones o acoso laboral. Pasos, plazos de 2 meses y abogados laborales en la zona sur.","Sepa cómo presentar una demanda laboral en Choluteca, Honduras. Conozca plazos, artículos del Código de Trabajo y pasos a seguir para reclamar sus","true","LOW","KEEP","KEEP"
"derecho-ambiental-honduras","derecho-ambiental","Derecho Ambiental en Honduras: Licencias, Delitos","Derecho Ambiental Honduras: Licencias y Delitos","Guía completa de derecho ambiental en Honduras: licencias, evaluación de impacto, delitos ambientales, SERNA, categorización y sanciones. Para empresas y","Conozca el derecho ambiental en Honduras: licencias, estudios de impacto, delitos y sanciones. Cumpla la normativa vigente.","","","","sin conflicto demostrado","Derecho Ambiental en Honduras: Licencias, Delitos","Derecho Ambiental Honduras: Licencias y Delitos","Guía completa de derecho ambiental en Honduras: licencias, evaluación de impacto, delitos ambientales, SERNA, categorización y sanciones. Para empresas y","Conozca el derecho ambiental en Honduras: licencias, estudios de impacto, delitos y sanciones. Cumpla la normativa vigente.","true","LOW","KEEP","KEEP"
"derecho-de-peticion-instituciones-honduras","derechos-ciudadanos","Derecho de Petición en Honduras","Derecho de Petición Honduras: Guía Completa y","Cómo redactar una petición efectiva (precisión, autoridad correcta, constancia de recibido). Plazos de respuesta, silencio administrativo y recurso de amparo","Conozca el Derecho de Petición en Honduras, Artículo 80 Constitución, plazos y cómo ejercerlo ante autoridades. ¡Obtenga respuesta!","","","","sin conflicto demostrado","Derecho de Petición en Honduras","Derecho de Petición Honduras: Guía Completa y","Cómo redactar una petición efectiva (precisión, autoridad correcta, constancia de recibido). Plazos de respuesta, silencio administrativo y recurso de amparo","Conozca el Derecho de Petición en Honduras, Artículo 80 Constitución, plazos y cómo ejercerlo ante autoridades. ¡Obtenga respuesta!","true","LOW","KEEP","KEEP"
"derechos-consumidor-financiero-honduras-cnbs","derecho-bancario","Derechos del consumidor financiero en Honduras","Derechos Consumidor Financiero Honduras","Cargos no autorizados, reportes indebidos en Central de Riesgos, tasas modificadas sin aviso. Guía práctica para reclamar ante el banco, la CNBS y los","Conozca sus derechos como consumidor financiero en Honduras. Aprenda a reclamar ante bancos y la CNBS por cobros indebidos o prácticas abusivas.","","","","sin conflicto demostrado","Derechos del consumidor financiero en Honduras","Derechos Consumidor Financiero Honduras","Cargos no autorizados, reportes indebidos en Central de Riesgos, tasas modificadas sin aviso. Guía práctica para reclamar ante el banco, la CNBS y los","Conozca sus derechos como consumidor financiero en Honduras. Aprenda a reclamar ante bancos y la CNBS por cobros indebidos o prácticas abusivas.","true","LOW","KEEP","KEEP"
"derechos-de-autor-proteccion-registro-honduras","propiedad-intelectual","Derechos de Autor en Honduras: Protección y Registro de Obras","Derechos de Autor en Honduras: Protección y","Guía completa sobre derechos de autor en Honduras: qué obras protege la ley, diferencia entre derechos morales y patrimoniales, cómo registrar una obra ante","Descubre cómo proteger tus obras literarias y artísticas en Honduras. Conoce la Ley, el registro ante DIGEPIH y tus derechos morales y patrimoniales.","","","","sin conflicto demostrado","Derechos de Autor en Honduras: Protección y Registro de Obras","Derechos de Autor en Honduras: Protección y","Guía completa sobre derechos de autor en Honduras: qué obras protege la ley, diferencia entre derechos morales y patrimoniales, cómo registrar una obra ante","Descubre cómo proteger tus obras literarias y artísticas en Honduras. Conoce la Ley, el registro ante DIGEPIH y tus derechos morales y patrimoniales.","true","LOW","KEEP","KEEP"
"derechos-detenido-honduras-guia-constitucional","derecho-penal","Derechos del detenido en Honduras: explicación práctica","Derechos del detenido en Honduras: explicación práctica","Derecho a saber por qué lo detienen, a guardar silencio, a un abogado desde el primer momento, a ser presentado ante un juez en 24 horas y a no ser","Abogado defensor, derecho al silencio, información sobre la detención, plazos y hábeas corpus explicados de forma práctica.","","","","sin conflicto demostrado","Derechos del detenido en Honduras: explicación práctica","Derechos del detenido en Honduras: explicación práctica","Derecho a saber por qué lo detienen, a guardar silencio, a un abogado desde el primer momento, a ser presentado ante un juez en 24 horas y a no ser","Abogado defensor, derecho al silencio, información sobre la detención, plazos y hábeas corpus explicados de forma práctica.","true","LOW","KEEP","KEEP"
"derechos-indigenas-consulta-previa-honduras","derecho-ambiental","Guía completa de derechos indígenas y consulta","Derechos Indígenas y Consulta Previa en Honduras","Convenio 169 de la OIT, consulta previa libre e informada, derechos territoriales de pueblos indígenas en Honduras y obligaciones del Estado. Guía actualizada","Conozca los derechos de los pueblos indígenas en Honduras, el marco legal del Convenio 169 OIT y la consulta previa, libre e informada.","","","","sin conflicto demostrado","Guía completa de derechos indígenas y consulta","Derechos Indígenas y Consulta Previa en Honduras","Convenio 169 de la OIT, consulta previa libre e informada, derechos territoriales de pueblos indígenas en Honduras y obligaciones del Estado. Guía actualizada","Conozca los derechos de los pueblos indígenas en Honduras, el marco legal del Convenio 169 OIT y la consulta previa, libre e informada.","true","LOW","KEEP","KEEP"
"derechos-laborales-basicos-honduras","derecho-laboral","Derechos laborales básicos en Honduras","Derechos Laborales en Honduras","Guía de los derechos laborales básicos en Honduras que más se violan en la práctica: salario, jornada, aguinaldo, vacaciones, maternidad, estabilidad y cómo","Conozca sus derechos laborales en Honduras: salario mínimo, jornada, horas extra, aguinaldo, vacaciones y despido. Cumpla la ley.","","","","sin conflicto demostrado","Derechos laborales básicos en Honduras","Derechos Laborales en Honduras","Guía de los derechos laborales básicos en Honduras que más se violan en la práctica: salario, jornada, aguinaldo, vacaciones, maternidad, estabilidad y cómo","Conozca sus derechos laborales en Honduras: salario mínimo, jornada, horas extra, aguinaldo, vacaciones y despido. Cumpla la ley.","true","LOW","KEEP","KEEP"
"derechos-trabajadora-embarazada-honduras","derecho-laboral","Despido por Embarazo en Honduras","Despido por Embarazo en Honduras en Honduras (2026) | Abogad","¿La despidieron estando embarazada? El fuero maternal la protege en Honduras. Licencia de 10 semanas, lactancia y cómo demandar un despido ilegal.","Conozca sus derechos laborales en Honduras ante un despido por embarazo. Fuero maternal, licencia y protección legal.","","","","sin conflicto demostrado","Despido por Embarazo en Honduras","Despido por Embarazo en Honduras en Honduras (2026) | Abogad","¿La despidieron estando embarazada? El fuero maternal la protege en Honduras. Licencia de 10 semanas, lactancia y cómo demandar un despido ilegal.","Conozca sus derechos laborales en Honduras ante un despido por embarazo. Fuero maternal, licencia y protección legal.","true","LOW","KEEP","KEEP"
"despido-empleados-publicos-honduras","derecho-administrativo","Despido de empleados públicos en Honduras","Despido Empleados Públicos Honduras","Empleado de carrera vs. libre nombramiento, causales taxativas de despido, procedimiento administrativo, recursos de reposición y apelación, y amparo. Plazos","Conozca los derechos y recursos ante el despido de empleados públicos en Honduras. Abogados explican Ley de Servicio Civil, plazos y procedimientos.","","","","sin conflicto demostrado","Despido de empleados públicos en Honduras","Despido Empleados Públicos Honduras","Empleado de carrera vs. libre nombramiento, causales taxativas de despido, procedimiento administrativo, recursos de reposición y apelación, y amparo. Plazos","Conozca los derechos y recursos ante el despido de empleados públicos en Honduras. Abogados explican Ley de Servicio Civil, plazos y procedimientos.","true","LOW","KEEP","KEEP"
"despido-laboral-honduras-guia-completa","derecho-laboral","Despido Injustificado en Honduras: Prestaciones y Plazos","Despido Injustificado en Honduras: Prestaciones y Plazos","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","","","","sin conflicto demostrado","Despido Injustificado en Honduras: Prestaciones y Plazos","Despido Injustificado en Honduras: Prestaciones y Plazos","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","Prestaciones y plazos ante un despido injustificado en Honduras. Revisión de documentos, cálculo de liquidación y opciones de reclamación laboral.","true","LOW","KEEP","KEEP"
"devolucion-impuestos-como-solicitarla-honduras","tributario","Devolución de impuestos en Honduras","Devolución de Impuestos Honduras","Procedimiento completo para solicitar devolución de impuestos en Honduras: saldos a favor del ISR e ISV, plazos, documentación y qué hacer si el SAR rechaza su","Aprenda cómo solicitar la devolución de impuestos (ISR, ISV) en Honduras. Conozca plazos, requisitos y procedimientos ante el SAR.","","","","sin conflicto demostrado","Devolución de impuestos en Honduras","Devolución de Impuestos Honduras","Procedimiento completo para solicitar devolución de impuestos en Honduras: saldos a favor del ISR e ISV, plazos, documentación y qué hacer si el SAR rechaza su","Aprenda cómo solicitar la devolución de impuestos (ISR, ISV) en Honduras. Conozca plazos, requisitos y procedimientos ante el SAR.","true","LOW","KEEP","KEEP"
"diferencia-denuncia-querella-acusacion-honduras","derecho-penal","Denuncia vs querella y acusación en Honduras","Denuncia vs querella y acusación en Honduras en Honduras (20","Conozca las diferencias clave entre denuncia, querella y acusación en el sistema penal hondureño. Cada figura tiene requisitos, efectos y procedimientos","Quién puede informar un delito, cómo participa la víctima y cuándo formaliza la acusación el Ministerio Público en Honduras.","","","","sin conflicto demostrado","Denuncia vs querella y acusación en Honduras","Denuncia vs querella y acusación en Honduras en Honduras (20","Conozca las diferencias clave entre denuncia, querella y acusación en el sistema penal hondureño. Cada figura tiene requisitos, efectos y procedimientos","Quién puede informar un delito, cómo participa la víctima y cuándo formaliza la acusación el Ministerio Público en Honduras.","true","LOW","KEEP","KEEP"
"divorcio-choluteca","derecho-de-familia","Divorcio en Choluteca","Divorcio en Choluteca","Divorcio en Choluteca: mutuo consentimiento, express o contencioso. Costos, plazos reales, documentos necesarios y abogados locales en el Juzgado de Familia.","Conozca los tipos de divorcio en Choluteca, Honduras: mutuo consentimiento, express y contencioso. Abogados de familia explican trámites y requisitos.","","","","sin conflicto demostrado","Divorcio en Choluteca","Divorcio en Choluteca","Divorcio en Choluteca: mutuo consentimiento, express o contencioso. Costos, plazos reales, documentos necesarios y abogados locales en el Juzgado de Familia.","Conozca los tipos de divorcio en Choluteca, Honduras: mutuo consentimiento, express y contencioso. Abogados de familia explican trámites y requisitos.","true","LOW","KEEP","KEEP"
"divorcio-honduras-guia-completa","derecho-de-familia","Divorcio en Honduras: 3 vías, requisitos y plazos","Divorcio en Honduras: vías, requisitos y plazos","Mutuo consentimiento, express o contencioso: comparativa con plazos reales, costes en Lempiras, requisitos legales y errores que encarecen el proceso. Elija la","Compare las vías de divorcio en Honduras, sus requisitos, documentos, plazos y las decisiones sobre hijos, alimentos y patrimonio.","","","","sin conflicto demostrado","Divorcio en Honduras: 3 vías, requisitos y plazos","Divorcio en Honduras: vías, requisitos y plazos","Mutuo consentimiento, express o contencioso: comparativa con plazos reales, costes en Lempiras, requisitos legales y errores que encarecen el proceso. Elija la","Compare las vías de divorcio en Honduras, sus requisitos, documentos, plazos y las decisiones sobre hijos, alimentos y patrimonio.","true","LOW","KEEP","KEEP"
"ejecucion-hipotecaria-honduras-que-hacer","derecho-bancario","Ejecución hipotecaria en Honduras: qué hacer","Ejecución Hipotecaria Honduras","De la notificación al remate: opciones legales en cada etapa. Dación en pago, reestructuración de deuda, oposición de excepciones y cómo detener el proceso","Conozca sus derechos y opciones legales ante una ejecución hipotecaria en Honduras. Evite la pérdida de su vivienda con asesoría experta.","","","","sin conflicto demostrado","Ejecución hipotecaria en Honduras: qué hacer","Ejecución Hipotecaria Honduras","De la notificación al remate: opciones legales en cada etapa. Dación en pago, reestructuración de deuda, oposición de excepciones y cómo detener el proceso","Conozca sus derechos y opciones legales ante una ejecución hipotecaria en Honduras. Evite la pérdida de su vivienda con asesoría experta.","true","LOW","KEEP","KEEP"
"errores-contratos-civiles-honduras","derecho-civil","Redactar Contratos en Honduras","Errores Comunes al Redactar Contratos en Honduras","Cláusulas vagas, ausencia de penal por incumplimiento, falta de domicilio procesal y otros errores que convierten un contrato en fuente de conflictos","Evite litigios costosos. Conozca los 8 errores clave al redactar contratos civiles y mercantiles en Honduras y cómo prevenirlos.","","","","sin conflicto demostrado","Redactar Contratos en Honduras","Errores Comunes al Redactar Contratos en Honduras","Cláusulas vagas, ausencia de penal por incumplimiento, falta de domicilio procesal y otros errores que convierten un contrato en fuente de conflictos","Evite litigios costosos. Conozca los 8 errores clave al redactar contratos civiles y mercantiles en Honduras y cómo prevenirlos.","true","LOW","KEEP","KEEP"
"estafas-fraudes-tipos-penales-honduras","derecho-penal","Estafa en Honduras: Tipos, Denuncia y Defensa","Estafa en Honduras: Tipos, Denuncia y Defensa","Tipos de estafa según el Código Penal de Honduras, cómo denunciar y cuándo buscar defensa legal ante acusaciones por fraude.","Tipos de estafa según el Código Penal de Honduras, cómo denunciar y cuándo buscar defensa legal ante acusaciones por fraude.","","","","sin conflicto demostrado","Estafa en Honduras: Tipos, Denuncia y Defensa","Estafa en Honduras: Tipos, Denuncia y Defensa","Tipos de estafa según el Código Penal de Honduras, cómo denunciar y cuándo buscar defensa legal ante acusaciones por fraude.","Tipos de estafa según el Código Penal de Honduras, cómo denunciar y cuándo buscar defensa legal ante acusaciones por fraude.","true","LOW","KEEP","KEEP"
"etapa-investigacion-proceso-penal-honduras","proceso-penal","Investigación Penal en Honduras","Investigación Penal Honduras: Plazos y Derechos","Guía sobre la fase de investigación en el proceso penal de Honduras: quién la dirige, qué diligencias se realizan, cuánto dura y qué derechos tiene el","Conozca los plazos, derechos y procedimientos de la investigación penal en Honduras. Abogados penalistas explican el Código Procesal Penal.","","","","sin conflicto demostrado","Investigación Penal en Honduras","Investigación Penal Honduras: Plazos y Derechos","Guía sobre la fase de investigación en el proceso penal de Honduras: quién la dirige, qué diligencias se realizan, cuánto dura y qué derechos tiene el","Conozca los plazos, derechos y procedimientos de la investigación penal en Honduras. Abogados penalistas explican el Código Procesal Penal.","true","LOW","KEEP","KEEP"
"evaluacion-impacto-ambiental-honduras","derecho-ambiental","Evaluación de Impacto Ambiental en Honduras","Evaluación de Impacto Ambiental Honduras","Guía completa: categorización de proyectos, proceso de EIA ante la SERNA, plazos, costos, y consecuencias legales de operar sin licencia ambiental. Para","Conozca el proceso, requisitos y marco legal de la Evaluación de Impacto Ambiental (EIA) en Honduras. Obtenga su licencia ambiental con asesoría experta.","","","","sin conflicto demostrado","Evaluación de Impacto Ambiental en Honduras","Evaluación de Impacto Ambiental Honduras","Guía completa: categorización de proyectos, proceso de EIA ante la SERNA, plazos, costos, y consecuencias legales de operar sin licencia ambiental. Para","Conozca el proceso, requisitos y marco legal de la Evaluación de Impacto Ambiental (EIA) en Honduras. Obtenga su licencia ambiental con asesoría experta.","true","LOW","KEEP","KEEP"
"expropiacion-forzosa-derechos-propietario-honduras","derecho-administrativo","Expropiación Forzosa en Honduras","Ley de Expropiación Forzosa Honduras","Fases del procedimiento expropiatorio, cómo impugnar la valoración, hoja de aprecio, Jurado de Expropiación, ocupación urgente y reversión del bien.","Guía legal sobre la expropiación forzosa en Honduras por utilidad pública. Defienda el valor de su tierra (justiprecio) frente al Estado y municipalidades.","","","","sin conflicto demostrado","Expropiación Forzosa en Honduras","Ley de Expropiación Forzosa Honduras","Fases del procedimiento expropiatorio, cómo impugnar la valoración, hoja de aprecio, Jurado de Expropiación, ocupación urgente y reversión del bien.","Guía legal sobre la expropiación forzosa en Honduras por utilidad pública. Defienda el valor de su tierra (justiprecio) frente al Estado y municipalidades.","true","LOW","KEEP","KEEP"
"facturacion-electronica-requisitos-sar","tributario","Facturación Electrónica en Honduras","Facturación electrónica Honduras: requisitos SAR","Quiénes están obligados, cómo solicitar autorización como emisor electrónico, software certificado, firma electrónica y sanciones por no cumplir con el SAR.","Conozca los requisitos, obligados, modalidades y controles del SAR relacionados con la facturación electrónica en Honduras.","","","","sin conflicto demostrado","Facturación Electrónica en Honduras","Facturación electrónica Honduras: requisitos SAR","Quiénes están obligados, cómo solicitar autorización como emisor electrónico, software certificado, firma electrónica y sanciones por no cumplir con el SAR.","Conozca los requisitos, obligados, modalidades y controles del SAR relacionados con la facturación electrónica en Honduras.","true","LOW","KEEP","KEEP"
"fianza-medidas-cautelares-proceso-penal-honduras","derecho-penal","Fianzas y Medidas Cautelares en el Proceso Penal","Fianzas y Medidas Cautelares en Honduras","Escala de medidas (presentación, arraigo, vigilancia, fianza, prisión preventiva). Cómo se fija el monto de la fianza, tipos de caución y consecuencias del","Conozca las fianzas y medidas cautelares en Honduras según el Código Procesal Penal (Decreto 9-99-E). Asegure su defensa y libertad durante el proceso.","","","","sin conflicto demostrado","Fianzas y Medidas Cautelares en el Proceso Penal","Fianzas y Medidas Cautelares en Honduras","Escala de medidas (presentación, arraigo, vigilancia, fianza, prisión preventiva). Cómo se fija el monto de la fianza, tipos de caución y consecuencias del","Conozca las fianzas y medidas cautelares en Honduras según el Código Procesal Penal (Decreto 9-99-E). Asegure su defensa y libertad durante el proceso.","true","LOW","KEEP","KEEP"
"guia-aduanera-importaciones-honduras","derecho-aduanero","Cómo Importar a Honduras: Requisitos y Documentos","Cómo Importar a Honduras: Requisitos y Documentos","Documentos, clasificación arancelaria, tributos y etapas generales del despacho para importar mercancías legalmente en Honduras.","Documentos, clasificación arancelaria, tributos y etapas generales del despacho para importar mercancías legalmente en Honduras.","","","","sin conflicto demostrado","Cómo Importar a Honduras: Requisitos y Documentos","Cómo Importar a Honduras: Requisitos y Documentos","Documentos, clasificación arancelaria, tributos y etapas generales del despacho para importar mercancías legalmente en Honduras.","Documentos, clasificación arancelaria, tributos y etapas generales del despacho para importar mercancías legalmente en Honduras.","true","LOW","KEEP","KEEP"
"habeas-corpus-cuando-interponer-honduras","proceso-penal","Hábeas Corpus en Honduras: Cómo Interponerlo y Cuándo Procede","Hábeas Corpus Honduras: Cómo Interponer y Cuándo","Guía completa del hábeas corpus en Honduras: qué derechos protege, contra qué actos procede, quién puede interponerlo, plazo de 24 horas, diferencias con el","Guía completa sobre el Hábeas Corpus en Honduras. Aprenda cómo interponerlo, cuándo procede y los plazos de 24 horas. Proteja su libertad.","","","","sin conflicto demostrado","Hábeas Corpus en Honduras: Cómo Interponerlo y Cuándo Procede","Hábeas Corpus Honduras: Cómo Interponer y Cuándo","Guía completa del hábeas corpus en Honduras: qué derechos protege, contra qué actos procede, quién puede interponerlo, plazo de 24 horas, diferencias con el","Guía completa sobre el Hábeas Corpus en Honduras. Aprenda cómo interponerlo, cuándo procede y los plazos de 24 horas. Proteja su libertad.","true","LOW","KEEP","KEEP"
